cantor,musica,codigo,clipe,at
Lucero,Ya No,33-371-01,CDG,G04
Lucero,Siempre Contigo,33-371-03,CDG,G04
Lucero,El Cable,33-371-05,CDG,G04
Lucero,Carino,33-371-06,CDG,G04
Lucero,Cuentame,33-371-08,CDG,G04
Lucero,Sobrevivire,33-371-09,CDG,G04
Lucero,Tacticas De Guerra,33-371-10,CDG,G04
Lucero,Vete Por Donde Llegaste,33-371-11,CDG,G04
Lucero,Corazon De Roca,33-371-12,CDG,G04
Lucha Villa,Amaneci En Tus Brazos,13-018-07,CDG,G02
Lucha Villa,Echame A Mi La Culpa,13-018-08,CDG,G02
Lucha Villa,Resulta,45-065-09,CDG,G04
Lucha Villa,Las Ciudades,45-066-10,CDG,G04
Lucha Villa,Amor De Un Rato,45-067-01,CDG,G04
Lucha Villa,Podria Volver,45-067-09,CDG,G04
Lucia Mendez,La Que Mas Te Ha Querido,13-003-08,CDG,G02
Luciana Mello,Tchau,97-028-19,VDK,22
Luciana Mello,Assim Que Se Faz,97-061-64,VDK,5
Luciana Mello,Simples Desejo,97-062-74,VDK,5
Luciana Mello,Prazer E Luz,97-065-46,VDK,6
Luciana Mello,Da Cor Do Pecado,97-066-88,VDK,7
Luciana Mello,Vaidade,97-095-57,VDK,13
Luciana Mello,Só Vale Com Você,97-154-33,VDK,25
Luciana Mello,Áfrico,96-032-38,N00,JUK
Luciana Mello,Couleur Café,96-032-39,N00,JUK
Luciana Mello,Samba Quebrado,96-032-40,N00,JUK
Luciana Mello,Tchau,96-032-41,N00,JUK
Luciana Mello,Assim Que Se Faz,96-036-77,N00,JUK
Luciana Mello,Prazer E Luz,96-036-78,N00,JUK
Luciana Mello,Simples Desejo,96-036-79,N00,JUK
Luciana Mello,Só Vale Com Você,96-036-80,N00,JUK
Luciano Ligabue,L'Amore Conta,88-046-64,CDG,G08
Luciano Pavarotti,Nessun Dorma,87-041-18,CDG,G08
Lucie Jones,Never Give Up On You,72-376-08,CDG,G19
Lucie Silvas,What You're Made Of,72-223-04,CDG,G01
Lucie Silvas,Breathe In,72-227-04,CDG,G01
Lucie Silvas,The Game Is Won,72-230-11,CDG,G01
Lucie Silvas,Don't Look Back,87-021-06,CDG,G06
Lucifer,C NO BINETSU,99-857-24,SB,M09
Lucifer,C NO BINETSU,98-954-33,PV,C01
Lucifer,Tokyo Illusion,98-951-32,PV,C01
Lucinha Lins,Narizinho,97-094-95,VDK,13
Lucinha Lins,A Bailarina,97-010-31,VDK,INF
Lucinha Lins,A Bailarina,96-036-81,N00,JUK
Lucio Battisti,Amarsi Un Po',88-046-65,CDG,G08
Lucio Battisti,Anche Per Te,88-046-66,CDG,G08
Lucio Battisti,Comunque Bella,88-046-67,CDG,G08
Lucio Battisti,Con Il Nastro Rosa Rmx,88-046-68,CDG,G08
Lucio Battisti,Emozioni,88-046-69,CDG,G08
Lucio Battisti,Il Tempo Di Morire,88-046-70,CDG,G08
Lucio Battisti,Innocenti Evasioni,88-046-71,CDG,G08
Lucio Battisti,Mi Ritorni In Mente,88-046-72,CDG,G08
Lucio Battisti,Non E' Francesca,88-046-73,CDG,G08
Lucio Dalla,Caruso,31-055-10,CDG,G05
Lucio Dalla,Piazza Grande,88-046-74,CDG,G08
Luck Tapes,Moon,98-840-92,PV,C29
LuckLife,Sanny Day,98-857-11,PV,C31
LuckLife,KAZE GA FUKU MACHI,98-850-71,PV,C30
LuckLife,HAJIME NO IPPO,98-850-70,PV,C30
LuckLife,NAMAE O YOBU YO,98-840-91,PV,C29
LuckLife,KAWARANAI SORA,98-837-21,PV,C28
LuckLife,AI TO YUU,98-831-47,PV,C27
LuckLife,Plain,98-827-69,PV,C26
Lucky Tapes,Tonight!,98-850-72,PV,C30
Lucy Spraggan,Tea And Toast,15-213-02,CDG,G18
Lucy Spraggan,Last Night,87-096-13,CDG,G10
Lucy Woodward,Dumb Girls,68-831-03,CDG,G01
Lucynha Cintra,Chega Aí,97-094-15,VDK,13
Lucynha Cintra,Eu Vou, Eu Vou,97-094-54,VDK,13
Lucynha Cintra,Rebolando Vem,97-095-26,VDK,13
Ludacris,Roll Out (My Business),16-206-09,CDG,G09
Ludacris,How Low,58-002-02,CDG,G04
Ludacris,Act A Fool (Radio Version),68-844-15,CDG,G01
Ludacris,Get Back,68-909-03,CDG,G01
Ludacris,Number One Spot,68-915-02,CDG,G01
Ludacris,Splash Waterfalls,77-201-55,CDG,G07
Ludacris,Blow It Out,77-201-95,CDG,G07
Ludacris,Diamond In The Back,77-202-03,CDG,G07
Ludacris & Mary J. Blige,Runaway Love,58-702-04,CDG,G07
Ludacris & Nicki Minaj,My Chick Bad,58-005-02,CDG,G05
Ludacris & Pharrell,Moneymaker,09-009-11,CDG,G04
Ludacris & Shawnna,Stand Up (Radio Version),68-849-02,CDG,G01
Ludmila Ferber,Os Sonhos De Deus,97-024-94,VDK,EV4
Ludmila Ferber,Quero Que Valorize,97-029-93,VDK,EV4
Ludmila Ferber,A Decisão,97-077-32,VDK,EV3
Ludmila Ferber,O Verdadeiro Amor,97-078-51,VDK,EV3
Ludmila Ferber,Tempo De Cura,97-078-77,VDK,EV3
Ludmila Ferber,Vem Me Saciar,97-078-85,VDK,EV3
Ludmilla,Hoje,97-156-97,VDK,27
Ludmilla,24 Horas Por Dia,97-158-81,VDK,28
Ludmilla,Sem Querer,97-159-30,VDK,28
Ludmilla,Fala Mal De Mim,97-160-44,VDK,29
Ludmilla,Bom,97-160-88,VDK,29
Ludmilla,Sou Eu,97-161-52,VDK,30
Ludmilla,Cheguei,97-901-44,VDK,YT00
Ludmilla,24 Horas Por Dia,96-027-63,N00,JUK
Ludmilla,Sem Querer,96-027-64,N00,JUK
Ludmilla,Água Na Boca,96-032-42,N00,JUK
Ludmilla,Bom,96-032-43,N00,JUK
Ludmilla,Sou Eu,96-032-44,N00,JUK
Ludmilla,Tô Querendo Mais,96-032-45,N00,JUK
Ludmilla,Hoje,96-036-82,N00,JUK
Ludmilla,Cheguei,96-003-44,N00,JUK
Ludmilla e Belo,Não Quero Mais,97-158-88,VDK,28
Ludmilla e Belo,Não Quero Mais,96-027-96,N00,JUK
Ludmilla e Claudia Leitte,Te Ensinei Certin,97-158-77,VDK,28
Ludmilla e Claudia Leitte,Te Ensinei Certin,96-036-83,N00,JUK
Luhica,TEGUSARI NO TSUKI,99-526-19,SB,M24
Luhica,TEGUSARI NO TSUKI,98-816-22,PV,C24
Luhica,HITORIGOTO BANA,98-809-90,PV,C23
LUHICA feat. NABE,KIMI TO ODORU,98-822-47,PV,C25
Luigi Tenco,Ciao Amore Ciao,97-070-08,VDK-ITA,ITA
Luigi Tenco,Ciao Amore Ciao,14-002-04,CDG,G09
Luigi Tenco,Lontano Lontano,14-002-05,CDG,G09
Luigi Tenco,Se Stasera Sono Qui,14-002-06,CDG,G09
Luigi Tenco,Vedrai Vedrai,14-002-07,CDG,G09
Luis Aguilar,No Volvere,45-022-07,CDG,G04
Luis Alcaraz,Bonita,13-028-01,CDG,G02
Luis Angel,Lluvia,33-033-07,CDG,G04
Luís Carlos,Sempre Há Saída,97-039-34,VDK,2
Luís Carlos,Eu Sonho Com Você,97-073-56,VDK,10
Luís Carlos e Giuliano,Eu Sou Peão,97-069-17,VDK,8
Luis Damon,Vivir La Vida,67-112-10,CDG,G03
Luis Eduardo Aute,Cada Vez Que Me Amas,13-069-06,CDG,G02
Luis Eduardo Aute,Sin Tu Latido,13-069-08,CDG,G02
Luis Eduardo Aute,Alevosia,13-069-11,CDG,G02
Luis Enrique,Qué Sé Yo,09-522-06,CDG,G01
Luis Fonsi,Despacito Ft. Daddy Yankee,97-901-36,VDK,YT00
Luis Fonsi,Despacito Ft. Daddy Yankee,96-507-51,I00,JUK
Luis Fonsi,Si Tu Quisieras,09-507-03,CDG,G01
Luis Fonsi,Me Ire,09-510-04,CDG,G01
Luis Fonsi,Imagíname Sin Tí,09-522-02,CDG,G01
Luis Fonsi,No Te Cambio Por Ninguna,09-528-08,CDG,G01
Luis Fonsi,Mi Sueño,09-536-05,CDG,G01
Luis Fonsi,Quisiera Poder Olvidarme De Ti,09-550-08,CDG,G01
Luis Fonsi,Amor Secreto,09-553-05,CDG,G01
Luis Fonsi,Te Vas,09-559-04,CDG,G01
Luis Fonsi,Quién Te Dijo Eso?,09-572-02,CDG,G01
Luis Fonsi,Despacito Ft. Daddy Yankee,14-004-06,CDG,G19
Luis Fonsi,Llueve Por Dentro,33-463-07,CDG,G04
Luis Fonsi,Abrazar La Vida,83-551-01,CDG,G05
Luis Fonsi & Justin Bieber,Despacito Ft. Daddy Yankee,96-507-52,I00,JUK
Luis Fonsi & Justin Bieber,Despacito Ft. Daddy Yankee,72-376-01,CDG,G19
Luis Gonzaga,Aproveita Gente,96-017-25,N00,JUK
Luis Gonzaga,Boiadeiro,96-017-27,N00,JUK
Luis Gonzaga,Danado De Bom,96-017-28,N00,JUK
Luis Gonzaga,Forró No Escuro,96-017-29,N00,JUK
Luis Gonzaga,Pagode Russo,96-017-30,N00,JUK
Luis Gonzaga,Pense Neu,96-017-31,N00,JUK
Luis Gonzaga,Respeito Januário,96-017-32,N00,JUK
Luis Gonzaga,Sanfoninha Choradeira,96-017-33,N00,JUK
Luis Gonzaga,Sebastiana,96-017-34,N00,JUK
Luis Gonzaga,Sete Meninas,96-017-35,N00,JUK
Luis Gonzaga,Terra Vida E Esperança,96-017-36,N00,JUK
Luis León Crespo,Cuando Los Huaraches Se Acaban,13-077-06,CDG,G02
Luis Mariano,C'Est Magnifique,11-106-82,CDG,G13
Luis Miguel,La Barca,97-039-19,VDK,2
Luis Miguel,El Dia Que Me Quieras,97-040-75,VDK,3
Luis Miguel,Cuando Caliente El Sol,09-502-02,CDG,G01
Luis Miguel,La Media Vuelta,09-502-06,CDG,G01
Luis Miguel,O Tu O Ninguna,09-510-05,CDG,G01
Luis Miguel,Dormir Contigo,09-513-03,CDG,G01
Luis Miguel,Amarte Es Un Placer,09-515-01,CDG,G01
Luis Miguel,La Bikina,09-522-05,CDG,G01
Luis Miguel,Por Debajo De La Mesa,09-524-07,CDG,G01
Luis Miguel,Contigo (Estar Contigo),09-524-08,CDG,G01
Luis Miguel,Y,09-530-04,CDG,G01
Luis Miguel,Como Duele,09-546-05,CDG,G01
Luis Miguel,Hasta Que Vuelvas,09-559-01,CDG,G01
Luis Miguel,Te Necesito,09-570-03,CDG,G01
Luis Miguel,Un Te Amo,09-572-03,CDG,G01
Luis Miguel,Contigo En La Distancia,13-001-01,CDG,G00
Luis Miguel,Mucho Corazon,13-001-02,CDG,G00
Luis Miguel,La Mentira,13-001-03,CDG,G00
Luis Miguel,Cuando Vuelva A Tu Lado,13-001-04,CDG,G00
Luis Miguel,No Se Tu,13-001-05,CDG,G00
Luis Miguel,Como,13-001-06,CDG,G00
Luis Miguel,No Me Platiques Mas,13-001-07,CDG,G00
Luis Miguel,Inolvidable,13-001-08,CDG,G00
Luis Miguel,La Puerta,13-001-09,CDG,G00
Luis Miguel,Te Extrano,13-001-10,CDG,G00
Luis Miguel,Usted,13-001-11,CDG,G00
Luis Miguel,La Barca,13-001-12,CDG,G00
Luis Miguel,Un Hombre Busca A Una Mujer,13-005-03,CDG,G02
Luis Miguel,Ahora Te Puedes Marchar,13-005-04,CDG,G02
Luis Miguel,Ayer,13-013-01,CDG,G02
Luis Miguel,Nosotros,13-020-01,CDG,G02
Luis Miguel,Sin Ti,13-021-01,CDG,G02
Luis Miguel,Solamente Una Vez,13-021-02,CDG,G02
Luis Miguel,Historia De Un Amor,13-021-03,CDG,G02
Luis Miguel,Yo Se Que Volveras,13-021-04,CDG,G02
Luis Miguel,Como Yo Te Ame,13-021-05,CDG,G02
Luis Miguel,Todo & Nada,13-021-07,CDG,G02
Luis Miguel,Solo Tu,13-029-07,CDG,G02
Luis Miguel,La Incondicional,13-030-01,CDG,G02
Luis Miguel,Los Muchachos De Hoy,13-032-01,CDG,G02
Luis Miguel,Palabra De Honor,13-032-02,CDG,G02
Luis Miguel,Isabel,13-032-03,CDG,G02
Luis Miguel,La Chica Del Bikini Azul,13-032-04,CDG,G02
Luis Miguel,Suave,13-032-05,CDG,G02
Luis Miguel,Pensar En Ti,13-032-06,CDG,G02
Luis Miguel,Fria Como El Viento,13-032-07,CDG,G02
Luis Miguel,Sera Que No Me Amas,13-032-08,CDG,G02
Luis Miguel,Hasta Que Me Olvides,13-032-09,CDG,G02
Luis Miguel,America,13-032-10,CDG,G02
Luis Miguel,Entegrate,13-032-11,CDG,G02
Luis Miguel,Oro De Ley,13-032-12,CDG,G02
Luis Miguel,Suena,13-034-02,CDG,G02
Luis Miguel,De Quererte Asi,13-039-04,CDG,G02
Luis Miguel,Amanecer,13-039-07,CDG,G02
Luis Miguel,Uno,13-039-10,CDG,G02
Luis Miguel,Cómo Es Posible Que A Mi Lado,13-082-05,CDG,G02
Luis Miguel,Sabes Una Cosa,33-100-01,CDG,G04
Luis Miguel,El Viajero,33-100-02,CDG,G04
Luis Miguel,Que Seas Feliz,33-100-03,CDG,G04
Luis Miguel,Mexico En La Piel,33-100-04,CDG,G04
Luis Miguel,Alguien Como Tu,33-100-12,CDG,G04
Luis Miguel,El Dia Que Me Quieras,33-316-11,CDG,G07
Luis Miguel,Sol Arena & Mar,44-010-06,CDG,G00
Luis Miguel,Dame,44-010-08,CDG,G00
Luis Miguel,Echame A Mi La Culpa,45-025-04,CDG,G04
Luis Miguel,Misterios Del Amor,52-512-07,CDG,G04
Luis Montaner,Sol Arena & Mar,65-219-07,CDG,G00
Luis Perez,El Sinaloense,13-007-06,CDG,G02
Luis Perez,No Provoque Mi Pichichi,13-054-02,CDG,G02
Luis Portela,Cavalgada,52-511-08,CDG,G04
Luiz Américo,Carta De Alforria,97-070-84,VDK,9
Luiz Ayrão,Bola Dividida,97-037-42,VDK,2
Luiz Ayrão,Porta Aberta,97-066-70,VDK,7
Luiz Ayrão,No Silêncio Da Madrugada,97-069-50,VDK,8
Luiz Ayrão,O Lobo Da Madrugada,97-071-97,VDK,9
Luiz Ayrão,A Saudade Que Ficou (O Lencinho),97-072-91,VDK,10
Luiz Ayrão,Amor Dividido,97-072-99,VDK,10
Luiz Ayrão,Bonequinha,97-073-07,VDK,10
Luiz Caldas,Fricote,97-073-67,VDK,10
Luiz Caldas,Tieta,97-074-63,VDK,10
Luiz Caldas,O Que Que Essa Nega Quer,97-159-10,VDK,28
Luiz Carlos e Cristina Monteiro,Sempre Sou Eu,97-033-90,VDK,MEM
Luiz Carlos Magno,Deixe Ele Falar Sozinho,97-073-33,VDK,10
Luiz Carlos Magno,Ave-Maria Pro Nosso Amor,97-096-20,VDK,14
Luiz Cláudio & Giuliano,Seu Jardineiro (Margarida),97-010-26,VDK,15
Luiz Cláudio & Giuliano e Bruno & Marrone,Meu Segredo,97-094-81,VDK,13
Luiz Gonzaga,Asa Branca,97-030-19,VDK,MEM
Luiz Gonzaga,Xote Das Meninas,97-038-60,VDK,2
Luiz Gonzaga,Ovo De Codorna,97-043-67,VDK,4
Luiz Gonzaga,Assum Preto,97-073-02,VDK,10
Luiz Gonzaga,Cintura Fina,97-073-18,VDK,10
Luiz Gonzaga,Capim Novo,97-094-08,VDK,13
Luiz Gonzaga,Sabiá,97-098-71,VDK,14
Luiz Gonzaga,Amigo Velho,97-158-92,VDK,28
Luiz Gonzaga,Asa Branca,96-017-26,N00,JUK
Luiz Gonzaga e Elba Ramalho,Qui Nem Jiló,97-157-14,VDK,27
Luiz Gonzaga e Fágner,Súplica Cearense,97-017-49,VDK,19
Luiz Gonzaga e Humberto Teixeira,Baião De Dois,97-156-02,VDK,26
Luiz Melodia,Juventude Transviada,97-040-84,VDK,3
Luiz Melodia,Pérola Negra,97-042-47,VDK,3
Luiz Melodia,Estácio, Eu E Você,97-073-51,VDK,10
Luiz Melodia,Estácio, Holly Estácio,97-073-52,VDK,10
Luiz Melodia,A Voz Do Morro,97-095-85,VDK,14
Luiz Melodia,Chegou A Bonitona,97-096-40,VDK,14
Luiz Melodia,Magrelinha,97-014-59,VDK,17
Luiz Melodia,Chegou A Bonitona,96-036-84,N00,JUK
Luiz Melodia,Flip 2008,96-036-85,N00,JUK
Luiza Possi,Me Faz Bem (Me Haces Biens),97-027-10,VDK,21
Luiza Possi,Tudo Certo,97-028-40,VDK,22
Luiza Possi,Dias Iguais,97-064-55,VDK,6
Luiza Possi,Eu Sou Assim,97-065-35,VDK,6
Luiza Possi,Além Do Arco-Íris,97-066-45,VDK,7
Luiza Possi,Tudo Que Há De Bom,97-067-55,VDK,7
Luiza Possi,Seu Nome,97-074-46,VDK,10
Luiza Possi,Escuta,97-075-96,VDK,11
Luiza Possi,Nem Bem Acordo,97-098-52,VDK,14
Luiza Possi,Devo Lhe Dizer,97-158-17,VDK,28
Luiza Possi,Dias Iguais,96-036-86,N00,JUK
Luiza Possi,Eu Sou Assim,96-036-87,N00,JUK
Luiza Possi,Insight,96-036-88,N00,JUK
Luiza Possi,Seu Nome,96-036-89,N00,JUK
Luiza Possi,Tudo Certo,96-036-90,N00,JUK
Luiza Possi,Tudo Que Há De Bom,96-036-91,N00,JUK
Luiza Possi e Lulu Santos,Tempo Em Movimento,97-156-31,VDK,26
Luiza Possi e Lulu Santos,Tempo Em Movimento,96-036-92,N00,JUK
Luiza Possi e Thiaguinho,Ainda É Tudo Seu,97-019-63,VDK,21
Luiza Possi e Thiaguinho,Ainda É Tudo Seu,96-036-93,N00,JUK
Luiza Possi e Zizi Possi,Cacos De Amor,97-152-43,VDK,24
Luk Brown,Danada Da Preguiça,97-094-28,VDK,13
Luka,Tô Nem Aí,97-066-37,VDK,6
Luka,Porta Aberta,97-067-09,VDK,7
Luka,Sem Resposta,97-072-44,VDK,9
Luka,Porta Aberta,96-036-94,N00,JUK
Luka,Sem Resposta,96-036-95,N00,JUK
Luka,Tô Nem Aí,96-036-96,N00,JUK
Luka e Papas da Língua,A Aposta,97-095-72,VDK,14
Luka e Serginho Moah,A Aposta,96-036-97,N00,JUK
Lukas Graham,You're Not There,15-229-03,CDG,G18
Lukas Graham,7 Years,72-361-01,CDG,G16
Lukas Graham,Mama Said,72-365-15,CDG,G17
Luke Bryan,All My Friends Say,09-011-07,CDG,G03
Luke Bryan,Take My Drunk Ass Home,11-106-83,CDG,G13
Luke Bryan,Kill The Lights,15-221-10,CDG,G17
Luke Bryan,Move,15-223-02,CDG,G17
Luke Bryan,Country Girl (Shake It),26-465-07,CDG,G07
Luke Bryan,I Don't Want This Night To End,26-472-07,CDG,G08
Luke Bryan,Drunk On You,26-476-06,CDG,G08
Luke Bryan,Rain Is A Good Thing,54-003-02,CDG,G05
Luke Bryan,Someone Else Calling You Baby,54-010-01,CDG,G06
Luke Bryan,You Don't Know Jack,54-111-07,CDG,G08
Luke Bryan,Do I,72-287-13,CDG,G04
Luke Bryan,Crash My Party,87-107-11,CDG,G11
Luke Bryan,That's My Kind Of Night,87-109-16,CDG,G11
Luke Bryan,Buzzkill,88-303-03,CDG,G10
Luke Bryan,Beer In The Headlights,88-309-01,CDG,G17
Luke Combs,When It Rains It Pours,15-257-08,CDG,G19
Luke Galliana,To Die For,72-179-12,CDG,G10
Luke James,I Want You,58-306-01,CDG,G11
Lulo,Modernidade,97-063-38,VDK,5
Lulu,To Sir With Love,97-047-90,VDK,A2
Lulu,To Sir With Love,37-030-09,CDG,G00
Lulu,The Man With The Golden Gun,68-468-08,CDG,G01
Lulu,Shout,86-905-07,CDG,G05
Lulu,The Boat That I Row,86-905-08,CDG,G05
Lulu,Boom Bang-A-Bang,86-905-09,CDG,G05
Lulu,Oh Me Oh My (I'm A Fool For You Baby,99-653-04,SB-PV,USA1
Lulu Santos,Brigas (Meu Benzinho),97-018-05,VDK,20
Lulu Santos,Areias Escaldantes,97-018-24,VDK,20
Lulu Santos,Tudo Azul,97-018-80,VDK,20
Lulu Santos,Assim Caminha Humanidade,97-030-21,VDK,MEM
Lulu Santos,Como Uma Onda,97-030-52,VDK,1
Lulu Santos,De Repente Califórnia,97-030-57,VDK,MEM
Lulu Santos,O Ultimo Romantico,97-031-92,VDK,1
Lulu Santos,Sereia,97-032-55,VDK,1
Lulu Santos,Tudo Com Você,97-032-78,VDK,1
Lulu Santos,Um Certo Alguem,97-032-79,VDK,1
Lulu Santos,Casa,97-034-62,VDK,MEM
Lulu Santos,Minha Vida,97-034-77,VDK,MEM
Lulu Santos,Tudo Bem,97-034-97,VDK,MEM
Lulu Santos,Um Pro Outro,97-034-99,VDK,MEM
Lulu Santos,Adivinhe O Quê ?,97-035-04,VDK,1
Lulu Santos,Aviso Aos Navegantes,97-035-08,VDK,1
Lulu Santos,Dancin' Days,97-036-13,VDK,2
Lulu Santos,Graal,97-036-20,VDK,2
Lulu Santos,Tudo Igual,97-036-42,VDK,2
Lulu Santos,Tão Bem,97-037-28,VDK,2
Lulu Santos,Toda Forma De Amor,97-037-30,VDK,2
Lulu Santos,Tempos Modernos,97-039-39,VDK,2
Lulu Santos,Cadê Você,97-039-50,VDK,3
Lulu Santos,Hiper Conectividade,97-040-01,VDK,3
Lulu Santos,Apenas Mais Uma De Amor,97-060-84,VDK,5
Lulu Santos,Certas Coisas,97-063-27,VDK,5
Lulu Santos,Todo O Universo,97-064-38,VDK,6
Lulu Santos,Já É,97-065-72,VDK,6
Lulu Santos,Sem Nunca Dar Adeus,97-067-91,VDK,7
Lulu Santos,A Cura,97-068-02,VDK,7
Lulu Santos,Pop Star,97-069-64,VDK,8
Lulu Santos,Condição,97-073-22,VDK,10
Lulu Santos,Lua De Mel,97-073-75,VDK,10
Lulu Santos,Satisfação,97-074-38,VDK,10
Lulu Santos,Vale De Lágrimas,97-077-22,VDK,11
Lulu Santos,Ninguém Merece,97-092-96,VDK,12
Lulu Santos,Deixa Isso Pra Lá,97-094-36,VDK,13
Lulu Santos,Esse Brilho Em Teu Olhar,97-094-52,VDK,13
Lulu Santos,Tesouro Da Juventude,97-095-47,VDK,13
Lulu Santos,Aquilo,97-150-81,VDK,23
Lulu Santos,Contatos,97-150-84,VDK,23
Lulu Santos,Papo Cabeça,97-151-84,VDK,24
Lulu Santos,Sócio Do Amor,97-157-17,VDK,27
Lulu Santos,Janela Indiscreta,97-014-30,VDK,17
Lulu Santos,Apenas Mais Uma De Amor,96-036-98,N00,JUK
Lulu Santos,Aquilo,96-036-99,N00,JUK
Lulu Santos,Aviso Aos Navegantes,96-037-01,N00,JUK
Lulu Santos,Casa,96-037-02,N00,JUK
Lulu Santos,Certas Coisas,96-037-03,N00,JUK
Lulu Santos,Como Uma Onda,96-037-04,N00,JUK
Lulu Santos,Condição,96-037-05,N00,JUK
Lulu Santos,De Repente Califórnia,96-037-06,N00,JUK
Lulu Santos,Já É,96-037-07,N00,JUK
Lulu Santos,Janela Indiscreta,96-037-08,N00,JUK
Lulu Santos,O Ultimo Romantico,96-037-09,N00,JUK
Lulu Santos,Pop Star,96-037-10,N00,JUK
Lulu Santos,Satisfação,96-037-11,N00,JUK
Lulu Santos,Sereia,96-037-12,N00,JUK
Lulu Santos,Tão Bem,96-037-13,N00,JUK
Lulu Santos,Tempos Modernos,96-037-14,N00,JUK
Lulu Santos,Tudo Azul,96-037-15,N00,JUK
Lulu Santos,Tudo Igual,96-037-16,N00,JUK
Lulu Santos,Um Pro Outro,96-037-17,N00,JUK
Lumidee,Crashin' A Party,16-312-07,CDG,G09
Lumidee,Never Leave You (Uh Oooh Uh Oooh),72-208-16,CDG,G01
Lumineers,Ho Hey,87-098-16,CDG,G10
Lumineers,Stubborn Love,88-301-18,CDG,G10
Luna,AFURERU HODO... Orbit Ken the 390,98-809-91,PV,C23
Luna Sea,Love Song,99-435-08,SB,L4
Luna Sea,Tonight,99-421-08,SB,L4
Luna Sea,Gravity,99-418-08,SB,L4
Luna Sea,I For You,99-372-09,SB,L3
Luna Sea,Shine,99-370-08,SB,L3
Luna Sea,Storm,99-366-12,SB,L3
Luna Sea,In silence,99-319-10,SB,L2
Luna Sea,End Of Sorrow,99-308-13,SB,L2
Luna Sea,Desire,99-301-09,SB,L2
Luna Sea,Mother,99-279-07,SB,L1
Luna Sea,True Blue,99-270-10,SB,L1
Luna Sea,Rosier,99-261-15,SB,L1
Luna Sea,Time Has Come,98-979-11,PV,C11
Luna Sea,I For You,98-969-54,PV,C07
Luna Sea,True Blue,98-954-59,PV,C01
Luna Sea,Storm,98-942-36,PV,C17
Luna Sea,Shine,98-942-35,PV,C17
Luna Sea,Rosier,98-942-34,PV,C17
Luna Sea,Love Song,98-942-33,PV,C17
Luna Sea,In silence,98-942-32,PV,C17
Luna Sea,In my dream,98-942-31,PV,C17
Luna Sea,Desire,98-942-30,PV,C17
Luna Sea,Dejavu,98-942-29,PV,C17
Luna Sea,Limit,98-840-93,PV,C29
Luna Sea,Thoughts (live ver),98-837-22,PV,C28
Luna Sea,RAN,98-816-23,PV,C24
Lunapop,50 Special,88-046-75,CDG,G08
Lunchmoney Lewis,Bills,72-351-06,CDG,G15
Luniz,I Got 5 On It,74-863-13,CDG,G01
LUNKHEAD,SUBARASHII SEKAI,98-932-79,PV,C15
LUNKHEAD,KESSEN ZEN-YA,98-840-94,PV,C29
Lupe D'Alessio,Inocente Pobre Amiga,13-020-06,CDG,G02
Lupe Fiasco,Bitch Bad,58-210-08,CDG,G10
Lupe Fiasco,Kick Push,74-879-08,CDG,G01
Lupe Fiasco,Daydreamin',77-404-50,CDG,G06
Lupe Fiasco & Bilal,How Dare You,58-301-04,CDG,G10
Lupe Fiasco & Jason Evigan,Unforgivable Youth,58-212-05,CDG,G10
Lupe Fiasco & Matt Santos,Shining Down,58-910-06,CDG,G04
Lupe Fiasco & Matthew Santos,Superstar,72-264-13,CDG,G02
Lupe Fiasco & Skylar Grey,Words I Never Said,53-105-04,CDG,G07
Lupe Fiasco & Trey Songz,Out Of My Head,58-106-01,CDG,G07
Lupicínio Rodrigues,Esses Moços (Pobre Moços),97-030-82,VDK,1
Lupillo Rivera,Tu & Las Nubes,09-523-06,CDG,G01
Lupillo Rivera,Despreciado,09-533-04,CDG,G01
Lupillo Rivera,Tu Recuerdo & Yo,09-544-02,CDG,G01
Lupillo Rivera,Sufriendo A Solas,09-552-05,CDG,G01
Lupillo Rivera,Dame Por Muerto (Versión En Vivo),09-574-08,CDG,G01
Lupita D'Alessio,Como Tu,33-311-11,CDG,G04
Lupita Palomera,Perfidia,13-002-03,CDG,G02
Lupita Palomera,Frenesi,13-011-02,CDG,G02
Luscious Jackson,Ladyfingers,68-548-10,CDG,G04
Lustra,Scotty Doesn't Know,11-106-84,CDG,G13
Luther Ingram,If Loving You Is Wrong (I Don't Want To Be Right),67-542-08,CDG,G00
Luther Vandross,Anyone Who Had A Heart,11-106-85,CDG,G13
Luther Vandross,Every Year Every Christmas,11-106-86,CDG,G13
Luther Vandross,Your Secret Love,46-217-03,CDG,G02
Luther Vandross,Creepin',46-217-04,CDG,G02
Luther Vandross,If I Didn't Know Better,46-217-05,CDG,G02
Luther Vandross,So Amazing,46-217-06,CDG,G02
Luther Vandross,Never Too Much,46-217-07,CDG,G02
Luther Vandross,The Closer I Get To You,46-217-09,CDG,G02
Luther Vandross,Give Me The Reason,46-217-10,CDG,G02
Luther Vandross,Never Let Me Go,46-217-11,CDG,G02
Luther Vandross,Since I Lost My Baby,46-217-12,CDG,G02
Luther Vandross,Don't Want To Be A Fool,46-217-13,CDG,G02
Luther Vandross,How Many Times Can We Say Goodbye,46-217-14,CDG,G02
Luther Vandross,Best Things In Life Are Free,46-217-15,CDG,G02
Luther Vandross,Power Of Love & Love Power,46-217-17,CDG,G02
Luther Vandross,Here And Now,68-126-10,CDG,G02
Luther Vandross,Going In Circles,68-156-03,CDG,G02
Luther Vandross,What The World Needs Now,68-244-15,CDG,G00
